Top of The Market Rating,Yahoo (1-5)Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
78.61,1.6,3,1,6,FLT,"FleetCor Technologies, Inc.",20.0,Buy
78.6,1.9,2,2,2,IPGP,IPG Photonics Corporation,0.76,Buy
78.6,1.7,2,2,4,PATK,"Patrick Industries, Inc.",9.08,Buy
78.59,2.2,2,2,2,BANR,Banner Corporation,8.22,Buy
78.58,1.9,3,1,6,WAGE,"WageWorks, Inc.",27.34,Buy
78.55,1.6,3,1,8,XNCR,"Xencor, Inc.",32.95,Buy
78.54,1.6,3,1,6,EPD,Enterprise Products Partners L.P.,19.57,Buy
78.53,1.7,3,1,5,JCOM,"j2 Global, Inc.",15.32,Buy
78.5,1.9,2,2,3,ADBE,Adobe Systems Incorporated,6.82,Buy
78.5,2.1,1,2,5,TX,Ternium S.A.,0.16,Buy
78.45,2.0,2,2,3,PH,Parker-Hannifin Corporation,9.01,Buy
78.45,2.1,3,1,5,TJX,"TJX Companies, Inc. (The)",24.87,Buy
78.43,1.7,3,1,6,MPLX,MPLX LP,21.41,Buy
78.41,2.0,3,1,2,PEGA,Pegasystems Inc.,2.11,Buy
78.41,2.2,2,2,2,WM,"Waste Management, Inc.",7.15,Buy
78.4,2.2,2,2,2,PEP,"Pepsico, Inc.",7.09,Buy
78.38,1.9,2,2,3,TFX,Teleflex Incorporated,6.12,Buy
78.33,2.2,2,2,1,TSS,"Total System Services, Inc.",-0.03,Buy
78.29,2.0,2,2,1,AVY,Avery Dennison Corporation,-5.24,Buy
78.27,2.1,2,2,5,FIVE,"Five Below, Inc.",23.81,Buy
78.25,2.0,1,2,5,AAOI,"Applied Optoelectronics, Inc.",-3.81,Buy
78.25,1.9,2,2,2,BDX,"Becton, Dickinson and Company",-1.34,Buy
78.21,2.0,2,2,4,LUV,Southwest Airlines Company,14.25,Buy
78.15,2.3,2,2,1,ATO,Atmos Energy Corporation,1.42,Buy
78.15,2.5,3,1,4,STL,Sterling Bancorp,26.39,Buy
78.13,1.9,2,2,4,MCHP,Microchip Technology Incorporated,11.26,Buy
78.12,2.2,2,2,4,BIG,"Big Lots, Inc.",18.73,Buy
78.09,1.9,2,2,6,PWR,"Quanta Services, Inc.",24.37,Buy
78.06,2.0,3,2,3,PLCE,"Children&#39;s Place, Inc. (The)",31.67,Buy
78.06,2.1,2,2,2,ICLR,ICON plc,2.54,Buy
78.03,1.8,3,1,3,ROG,Rogers Corporation,1.53,Buy
78.02,1.3,3,1,10,QUOT,Quotient Technology Inc.,35.59,Buy
77.94,2.1,2,2,3,ORCL,Oracle Corporation,8.46,Buy
77.93,1.5,3,1,5,PRAH,"PRA Health Sciences, Inc.",6.76,Buy
77.91,1.9,2,6,4,IVZ,Invesco Plc,7.03,Buy
77.9,2.0,2,2,3,NTES,"NetEase, Inc.",5.72,Buy
77.9,1.9,2,2,5,VMC,Vulcan Materials Company,16.59,Buy
77.89,1.7,3,1,4,AMT,American Tower Corporation (REIT),4.81,Buy
77.79,2.4,2,2,2,ESNT,Essent Group Ltd.,8.41,Buy
77.78,2.6,1,2,3,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,-5.01,Buy
77.78,1.4,3,1,5,TREE,"LendingTree, Inc.",3.37,Buy
77.78,1.6,3,1,4,NTRI,NutriSystem Inc,1.67,Buy
77.77,1.6,3,1,6,MPC,Marathon Petroleum Corporation,14.98,Buy
77.75,1.5,3,1,5,BIO,"Bio-Rad Laboratories, Inc.",5.67,Buy
77.75,2.2,2,2,5,UAL,"United Continental Holdings, Inc.",23.15,Buy
77.73,2.5,1,2,4,CNS,Cohen & Steers Inc,-1.14,Buy
77.73,2.3,2,2,1,PGR,Progressive Corporation (The),-1.1,Buy
77.69,2.4,1,2,2,NVDA,NVIDIA Corporation,-17.19,Buy
77.67,1.0,3,2,17,SMFG,Sumitomo Mitsui Financial Group Inc,13.37,Buy
77.62,2.0,3,1,3,IIVI,II-VI Incorporated,4.03,Buy
77.55,2.4,1,2,6,NCS,"NCI Building Systems, Inc.",8.64,Buy
77.53,2.3,1,2,8,VRNT,Verint Systems Inc.,19.35,Buy
77.51,1.7,3,1,5,SMTC,Semtech Corporation,9.2,Buy
77.5,2.0,3,1,10,DERM,"Dermira, Inc.",58.21,Buy
77.49,2.2,2,2,3,LLL,"L3 Technologies, Inc.",8.25,Buy
77.39,1.9,3,1,6,ALXN,"Alexion Pharmaceuticals, Inc.",20.16,Buy
77.39,2.3,2,2,17,PLYA,Playa Hotels & Resorts N.V.,19.45,Buy
77.39,1.9,3,1,5,WRK,Westrock Company,13.5,Buy
77.38,1.4,3,1,9,NXTM,"NxStage Medical, Inc.",27.62,Buy
77.38,1.8,3,1,5,EBS,"Emergent Biosolutions, Inc.",10.96,Buy
77.33,2.3,2,2,3,EWBC,"East West Bancorp, Inc.",9.79,Buy
77.33,2.1,3,1,17,ZTO,ZTO Express (Cayman) Inc.,14.16,Buy
77.32,1.8,2,1,8,ACHC,"Acadia Healthcare Company, Inc.",5.56,Buy
77.31,2.1,2,2,3,DHI,"D.R. Horton, Inc.",4.71,Buy
77.3,2.2,2,2,3,CE,Celanese Corporation,7.14,Buy
77.29,1.6,4,1,5,SLM,SLM Corporation,30.4,Buy
77.25,1.9,3,1,5,JAZZ,Jazz Pharmaceuticals plc,12.68,Buy
77.22,2.6,3,1,8,TIVO,TiVo Corporation,55.84,Buy
77.22,2.2,2,2,3,TEL,TE Connectivity Ltd.,6.63,Buy
77.21,1.8,3,1,7,TECK,Teck Resources Ltd,23.28,Buy
77.19,1.7,3,2,2,WSFS,WSFS Financial Corporation,12.31,Buy
77.19,3.0,1,2,9,TRQ,Turquoise Hill Resources Ltd.,41.48,Buy
77.17,3.0,1,2,17,CRH,CRH PLC,10.86,Buy
77.16,2.3,3,1,17,GDI,"Gardner Denver Holdings, Inc.",18.32,Buy
77.13,1.8,3,1,5,TSO,Tesoro Corporation,9.42,Buy
77.08,2.1,2,2,4,LLY,Eli Lilly and Company,9.97,Buy
77.07,1.8,4,1,17,NCSM,"NCS Multistage Holdings, Inc.",30.34,Buy
77.07,2.1,2,2,3,SRE,Sempra Energy,3.24,Buy
77.06,1.9,2,2,4,STE,STERIS plc,4.85,Buy
77.04,1.6,3,1,17,PBYI,Puma Biotechnology Inc,0.21,Buy
76.99,2.0,2,1,7,BAP,Credicorp Ltd.,1.93,Buy
76.96,1.0,3,2,6,KEP,Korea Electric Power Corporation,20.12,Buy
76.94,1.6,3,1,7,NPO,EnPro Industries,16.63,Buy
76.9,2.0,3,1,5,MDLZ,"Mondelez International, Inc.",13.07,Buy
76.87,1.7,3,1,17,TTD,"The Trade Desk, Inc.",1.87,Buy
76.85,2.1,2,2,3,TSLX,"TPG Specialty Lending, Inc.",1.94,Buy
76.84,1.3,3,1,11,FGEN,"FibroGen, Inc",35.21,Buy
76.83,2.3,2,2,6,BWP,Boardwalk Pipeline Partners L.P.,26.8,Buy
76.81,1.9,3,1,11,ACAD,ACADIA Pharmaceuticals Inc.,59.31,Buy
76.81,2.0,3,2,5,ACCO,Acco Brands Corporation,37.5,Buy
76.8,2.3,2,2,4,MRK,"Merck & Company, Inc.",13.27,Buy
76.74,2.0,2,2,5,GOLD,Randgold Resources Limited,12.08,Buy
76.72,1.8,2,2,4,MRCY,Mercury Systems Inc,0.32,Buy
76.69,2.2,1,2,8,CY,Cypress Semiconductor Corporation,11.79,Buy
76.69,2.3,2,2,4,TSN,"Tyson Foods, Inc.",12.64,Buy
76.67,1.6,3,1,6,DAR,Darling Ingredients Inc.,8.37,Buy
76.63,2.1,2,2,5,KKR,KKR & Co. L.P.,13.93,Buy
76.62,1.9,3,1,5,GOOGL,Alphabet Inc.,8.88,Buy
76.61,1.6,3,1,17,LOXO,"Loxo Oncology, Inc.",-1.95,Buy
76.61,2.1,2,2,4,SWKS,"Skyworks Solutions, Inc.",7.15,Buy
76.57,2.0,2,1,12,EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),32.73,Buy
76.55,2.3,2,2,3,ALE,"Allete, Inc.",5.13,Buy
76.54,2.1,1,2,8,SBAC,SBA Communications Corporation,8.43,Buy
76.54,2.0,2,2,4,SEIC,SEI Investments Company,4.24,Buy
76.52,2.1,3,1,5,OTEX,Open Text Corporation,13.31,Buy
76.47,2.0,2,2,5,GRFS,"Grifols, S.A.",10.48,Buy
76.46,1.8,2,2,5,MSA,MSA Safety Incorporporated,5.4,Buy
76.46,2.2,2,2,17,YUMC,"Yum China Holdings, Inc.",12.3,Buy
76.43,2.3,2,2,2,B,"Barnes Group, Inc.",-2.24,Buy
76.35,1.7,3,1,8,ACXM,Acxiom Corporation,22.27,Buy
76.3,2.1,2,2,5,SBCF,Seacoast Banking Corporation of Florida,11.99,Buy
76.27,2.0,3,1,17,TIG,TiGenix,6.37,Buy
76.27,2.2,3,2,3,IPG,"Interpublic Group of Companies, Inc. (The)",25.93,Buy
